Environment,Distance(m),QBER(%),SKR(bps),Avg_Sifted,Avg_Error
Clear_Water,1.0,1.4958314773712829,603499.75,774173.75,11580.25
Clear_Water,1.1,1.490660093310884,491180.25,630089.5,9392.5
Clear_Water,1.2,1.4848110671454429,406584.0,521569.0,7744.25
Clear_Water,1.3,1.5088537575871346,339853.5,437615.25,6603.0
Clear_Water,1.4,1.49306282004417,289833.75,371801.0,5551.25
Clear_Water,1.5,1.5128645624974792,247023.5,319280.0,4830.25
Clear_Water,1.6,1.5088857104616171,214833.5,276629.0,4174.0
Clear_Water,1.7,1.5026625807221068,186667.25,241272.0,3625.5
Clear_Water,1.8,1.5098905678395078,163794.25,211707.0,3196.5
Clear_Water,1.9,1.495407611456617,145517.25,187374.75,2802.0
Clear_Water,2.0,1.4937287761288716,129279.25,166465.5,2486.5
Clear_Water,2.1,1.4926694901239999,115812.25,149113.25,2225.75
Clear_Water,2.2,1.5101145342429103,103407.0,133658.25,2018.5
Clear_Water,2.3,1.526582427632306,92709.75,120285.25,1836.25
Clear_Water,2.4,1.5311886532942958,83834.5,108770.5,1665.5
Clear_Water,2.5,1.516934936791612,76195.0,98857.75,1499.5
Clear_Water,2.6,1.5053808669459052,69829.0,89915.25,1353.5
Clear_Water,2.7,1.520741198837641,63473.75,82039.75,1247.5
Clear_Water,2.8,1.4985243643111732,58355.75,75141.5,1126.0
Clear_Water,2.9,1.437952975533092,54502.0,69384.75,997.75
Clear_Water,3.0,1.5073820048618183,49376.25,63820.25,962.0
Clear_Water,3.1,1.4850132555706064,45359.0,58405.5,867.5
Clear_Water,3.2,1.496482365403018,42126.25,54244.5,811.75
Clear_Water,3.3,1.5381709964228458,38695.0,50205.0,772.25
Clear_Water,3.4,1.536030309327596,35953.75,46647.25,716.5
Clear_Water,3.5,1.522345820802565,33403.75,43175.0,657.25
Clear_Water,3.6,1.5334158327156158,31078.0,40322.25,618.25
Clear_Water,3.7,1.4725902054535611,29359.0,37804.75,556.75
Clear_Water,3.8,1.529659005116625,27410.0,35429.5,542.0
Clear_Water,3.9,1.5449301931791881,25260.5,32899.5,508.25
Clear_Water,4.0,1.4670480847562264,23951.75,30726.0,450.75
Clear_Water,4.1,1.5178806018640867,22259.25,28771.5,436.75
Clear_Water,4.2,1.5151395401235181,20919.75,27040.75,409.75
Clear_Water,4.3,1.4692356997506955,19804.75,25403.75,373.25
Clear_Water,4.4,1.6032648389170945,18310.5,24030.25,385.25
Clear_Water,4.5,1.541943672169858,17350.75,22506.5,347.0
Clear_Water,4.6,1.5193274657157327,16484.0,21306.75,323.75
Clear_Water,4.7,1.5103168366786917,15656.0,20160.25,304.5
Clear_Water,4.8,1.4827626871421393,14717.75,18880.0,280.0
Clear_Water,4.9,1.5858580627850192,13613.5,17791.25,282.25
Clear_Water,5.0,1.557741215556411,13074.0,16963.5,264.25
Clear_Water,5.1,1.5848648345404448,12219.75,15972.0,253.0
Clear_Water,5.2,1.4344552548671792,11876.25,15177.75,217.75
Clear_Water,5.3,1.5113057254820594,11178.0,14390.5,217.5
Clear_Water,5.4,1.4567289390073834,10702.0,13728.75,200.0
Clear_Water,5.5,1.4626654448685348,10162.25,13035.25,190.75
Clear_Water,5.6,1.4614275169207542,9665.5,12352.0,180.5
Clear_Water,5.7,1.5267127720096019,9028.5,11714.5,179.0
Clear_Water,5.8,1.5319172394923384,8501.0,11030.5,169.0
Clear_Water,5.9,1.4961037726810926,8199.25,10557.75,158.0
Clear_Water,6.0,1.6265884786814067,7720.5,10130.0,164.75
Clear_Water,6.1,1.555188981841455,7369.5,9598.5,149.25
Clear_Water,6.2,1.649470835999734,6990.75,9209.25,152.0
Clear_Water,6.3,1.5327226862818335,6826.25,8823.75,135.25
Clear_Water,6.4,1.5222663835487422,6518.25,8457.0,128.75
Clear_Water,6.5,1.500350513957131,6265.25,8062.75,121.0
Clear_Water,6.6,1.6174724918363808,5817.5,7632.25,123.5
Clear_Water,6.7,1.4536242912488377,5600.5,7185.25,104.5
Clear_Water,6.8,1.5337093746356092,5352.0,6942.25,106.5
Clear_Water,6.9,1.5451665222012407,5125.25,6649.0,102.75
Clear_Water,7.0,1.377829389783349,5039.0,6366.75,87.75
 
