Environment,Distance(m),QBER(%),SKR(bps),Avg_Sifted,Avg_Error
Coastal_Water,1.0,1.5048193362451427,469614.25,604693.0,9099.5
Coastal_Water,1.1,1.5094992044938578,374445.0,480341.0,7250.75
Coastal_Water,1.2,1.5178879283152475,299975.5,387726.25,5885.25
Coastal_Water,1.3,1.543331949568772,244026.75,317817.25,4905.0
Coastal_Water,1.4,1.5452480354246714,202197.25,263339.25,4069.25
Coastal_Water,1.5,1.5723600318878788,169499.5,220754.25,3471.0
Coastal_Water,1.6,1.5997330111791668,142916.0,186844.75,2989.0
Coastal_Water,1.7,1.594665352796296,121049.75,158865.25,2533.25
Coastal_Water,1.8,1.6555330793216372,103370.25,136184.75,2254.5
Coastal_Water,1.9,1.6745788371998445,88684.0,117729.0,1971.5
Coastal_Water,2.0,1.6774818367556656,76719.75,101847.0,1708.5
Coastal_Water,2.1,1.7324631242972142,66637.25,89133.75,1544.25
Coastal_Water,2.2,1.8105864159921898,57983.0,78145.75,1415.0
Coastal_Water,2.3,1.8561667102770647,50027.75,68471.5,1271.0
Coastal_Water,2.4,1.970803312386925,43867.0,60723.75,1196.75
Coastal_Water,2.5,2.01693699113979,38375.5,53734.25,1083.75
Coastal_Water,2.6,2.113901000290953,33769.25,47828.25,1011.0
Coastal_Water,2.7,2.2254666772462763,29553.0,42659.0,949.25
Coastal_Water,2.8,2.3765985951933715,25864.5,38363.75,911.75
Coastal_Water,2.9,2.4081425237718905,23448.25,34644.75,834.25
Coastal_Water,3.0,2.6012165539364456,20391.5,31199.75,811.5
Coastal_Water,3.1,2.759063024824009,17679.5,27920.0,770.5
Coastal_Water,3.2,2.871948948626652,15819.25,25380.75,729.0
Coastal_Water,3.3,3.2465341037069564,13454.75,22922.25,744.0
Coastal_Water,3.4,3.399188445146977,11980.75,20926.25,711.25
Coastal_Water,3.5,3.622480963333971,10431.25,18992.75,688.0
Coastal_Water,3.6,3.9648262641645116,9010.5,17416.0,690.5
Coastal_Water,3.7,4.019942904570586,8292.75,16100.25,647.25
Coastal_Water,3.8,4.412260069313694,7031.5,14720.75,649.5
Coastal_Water,3.9,4.94711743813439,5798.25,13452.0,665.5
Coastal_Water,4.0,5.0247330056410915,5300.75,12415.25,623.75
Coastal_Water,4.1,5.612235530639563,4286.25,11395.25,639.5
Coastal_Water,4.2,5.797837764163436,3852.25,10627.0,616.0
Coastal_Water,4.3,6.5679801764074455,2947.25,9797.0,643.5
Coastal_Water,4.4,7.164754282329219,2373.75,9229.5,661.0
Coastal_Water,4.5,7.7282632859734175,1825.5,8518.75,658.25
Coastal_Water,4.6,8.5575680390424,1251.75,8010.75,685.5
Coastal_Water,4.7,8.679103372151012,1124.75,7526.0,653.25
Coastal_Water,4.8,9.448777806696373,655.75,6834.5,645.75
Coastal_Water,4.9,10.344102681284456,255.5,6409.0,663.0
Coastal_Water,5.0,11.122726353839768,47.0,6038.0,671.75
Coastal_Water,5.1,11.830712171769642,0.0,5685.5,672.5
Coastal_Water,5.2,12.812028736025189,0.0,5443.5,697.25
Coastal_Water,5.3,13.891770335047774,0.0,5200.75,722.5
Coastal_Water,5.4,14.435671205108008,0.0,4920.25,710.25
Coastal_Water,5.5,14.921422436668323,0.0,4685.75,699.5
Coastal_Water,5.6,16.05605266977312,0.0,4427.5,710.75
Coastal_Water,5.7,16.985467197252966,0.0,4220.5,716.75
Coastal_Water,5.8,18.071847268708048,0.0,3999.75,722.75
Coastal_Water,5.9,19.907993940563312,0.0,3833.0,763.0
Coastal_Water,6.0,20.36126272949353,0.0,3767.75,767.0
Coastal_Water,6.1,20.873466948661772,0.0,3603.0,752.0
Coastal_Water,6.2,22.5506199478894,0.0,3543.0,798.75
Coastal_Water,6.3,23.800778819734933,0.0,3406.25,810.75
Coastal_Water,6.4,24.363709162797868,0.0,3276.25,798.25
Coastal_Water,6.5,24.95208549663835,0.0,3127.5,780.5
Coastal_Water,6.6,26.53076712728678,0.0,3064.0,813.0
Coastal_Water,6.7,27.64082432614881,0.0,2972.0,821.25
Coastal_Water,6.8,28.200290120675824,0.0,2949.25,831.75
Coastal_Water,6.9,29.13830873815048,0.0,2921.5,851.75
Coastal_Water,7.0,30.84569581525879,0.0,2815.0,868.25
 
